Species,EPU,YEAR,MeanCond,nCond,n
16,MAB,1997,1.0454847430035838,7,20
16,MAB,1998,1.0032582221628474,22,20
16,MAB,1999,0.9716863263885849,4,20
16,MAB,2000,0.9829616964649284,8,20
16,MAB,2002,0.9912101096792653,9,20
16,MAB,2003,0.9892544402222113,14,20
16,MAB,2008,0.9881251001114123,4,20
16,MAB,2009,1.011656005422939,8,20
16,MAB,2010,1.0415372196753092,57,20
16,MAB,2011,1.018222707462771,9,20
16,MAB,2012,1.0524785242289818,3,20
16,MAB,2013,1.002875761079081,90,20
16,MAB,2015,1.0306612781402893,4,20
16,MAB,2016,1.0356123742936083,36,20
16,MAB,2017,1.0323240960437416,32,20
16,MAB,2018,1.0182911014612503,42,20
16,MAB,2019,0.9940438496442623,21,20
16,MAB,2020,0.9700050281844702,18,20
16,MAB,2021,0.9689267742800777,5,20
16,MAB,2022,1.019915327295453,4,20
171,MAB,1992,1.0021978833945642,17,21
171,MAB,2003,1.0078436474049162,3,21
171,MAB,2004,0.9066664395742452,240,21
171,MAB,2005,0.9550533004667177,40,21
171,MAB,2006,0.9880971587925096,54,21
171,MAB,2007,0.9803638920722479,54,21
171,MAB,2008,0.9861756049329921,43,21
171,MAB,2009,0.9953420062678274,94,21
171,MAB,2010,0.9997903291681497,72,21
171,MAB,2011,0.9899526261816906,51,21
171,MAB,2012,1.001986612422374,72,21
171,MAB,2013,0.9469344436588142,84,21
171,MAB,2014,0.9750902627190466,77,21
171,MAB,2015,0.9491178657018726,70,21
171,MAB,2016,0.9920183453283296,102,21
171,MAB,2017,0.9424494868733203,106,21
171,MAB,2018,0.914435176750852,56,21
171,MAB,2019,0.9508511848561936,60,21
171,MAB,2020,0.9603721849501423,53,21
171,MAB,2021,0.9490690072880672,84,21
171,MAB,2022,0.9594663808176563,112,21
34,GOM,1999,0.9402999943439524,20,23
34,GOM,2000,1.0730773467334367,3,23
34,GOM,2002,0.991376949348301,17,23
34,GOM,2003,0.8695363472588601,35,23
34,GOM,2004,0.8616655701653495,41,23
34,GOM,2005,0.8631614674487906,33,23
34,GOM,2006,0.9422568633815487,64,23
34,GOM,2007,0.8848732649014692,37,23
34,GOM,2008,0.922202490369761,28,23
34,GOM,2009,0.9579436709262052,78,23
34,GOM,2010,0.9480623778905823,52,23
34,GOM,2011,0.9788771356892529,30,23
34,GOM,2012,0.9704137781408978,75,23
34,GOM,2013,0.9720168472594212,57,23
34,GOM,2014,0.9916380714104753,42,23
34,GOM,2015,0.9089100549532826,53,23
34,GOM,2016,1.0518697573171798,50,23
34,GOM,2017,1.0232318970541943,71,23
34,GOM,2018,1.0096395966066298,31,23
34,GOM,2019,1.0439599928382841,50,23
34,GOM,2021,1.0556680966662069,51,23
34,GOM,2022,0.9720488657513111,66,23
34,GOM,2023,1.10312912505865,9,23
34,MAB,1999,1.03563359457129,70,24
34,MAB,2000,1.043288756040294,54,24
34,MAB,2001,1.0244851863545252,37,24
34,MAB,2002,0.9981951265905252,39,24
34,MAB,2003,0.9526587116933852,90,24
34,MAB,2004,0.9219571176612948,95,24
34,MAB,2005,0.9388000372823508,74,24
34,MAB,2006,1.0162825813218757,45,24
34,MAB,2007,0.9538508785580415,78,24
34,MAB,2008,0.99492872182764025,55,24
34,MAB,2009,0.9793193852826346,62,24
34,MAB,2010,1.0002585284577676,72,24
34,MAB,2011,0.9760696854242071,55,24
34,MAB,2012,1.036427455832476,27,24
34,MAB,2013,1.0055785646790927,41,24
34,MAB,2014,1.0363173911803112,33,24
34,MAB,2015,0.9953878482178445,64,24
34,MAB,2016,1.0769365700212141,53,24
34,MAB,2017,1.023643687868763,70,24
34,MAB,2018,1.0370750852454325,69,24
34,MAB,2019,1.0525501082892648,35,24
34,MAB,2020,1.115889115046762,21,24
34,MAB,2021,1.0131536770562202,26,24
34,MAB,2022,1.0315416044799979,29,24
Acadian redfish,GOM,1992,0.9806305799896541,157,31
Acadian redfish,GOM,1993,0.995269129310292,197,31
Acadian redfish,GOM,1994,0.9997138549493574,144,31
Acadian redfish,GOM,1995,0.9629220264112736,168,31
Acadian redfish,GOM,1996,1.0051487295392922,251,31
Acadian redfish,GOM,1997,0.9694886486318238,372,31
Acadian redfish,GOM,1998,1.0008523173444444,392,31
Acadian redfish,GOM,1999,1.0184897626286338,235,31
Acadian redfish,GOM,2000,1.0139779368262114,286,31
Acadian redfish,GOM,2001,0.9559851821196735,268,31
Acadian redfish,GOM,2002,0.9544798849611947,256,31
Acadian redfish,GOM,2003,0.9606371719826378,323,31
Acadian redfish,GOM,2004,0.9471997910273978,341,31
Acadian redfish,GOM,2005,0.9642310463803234,294,31
Acadian redfish,GOM,2006,0.961009138615662,298,31
Acadian redfish,GOM,2007,0.987018856800745,303,31
Acadian redfish,GOM,2008,1.0026900386815862,371,31
Acadian redfish,GOM,2009,0.9430287500343885,687,31
Acadian redfish,GOM,2010,0.9502505606908159,734,31
Acadian redfish,GOM,2011,0.9398494099933948,604,31
Acadian redfish,GOM,2012,0.9582189097974754,755,31
Acadian redfish,GOM,2013,0.9507484116580948,636,31
Acadian redfish,GOM,2014,0.9747449831890649,673,31
Acadian redfish,GOM,2015,0.9725719584248387,393,31
Acadian redfish,GOM,2016,0.9493708414389714,474,31
Acadian redfish,GOM,2017,0.9546448181843211,403,31
Acadian redfish,GOM,2018,0.9589378463348405,193,31
Acadian redfish,GOM,2019,0.9765349425338634,325,31
Acadian redfish,GOM,2021,0.9742666862892266,466,31
Acadian redfish,GOM,2022,0.960225363162621,384,31
Acadian redfish,GOM,2023,0.9354497032701133,53,31
Acadian redfish,SS,1992,1.0625693916732402,27,30
Acadian redfish,SS,1993,1.0252188611908666,54,30
Acadian redfish,SS,1994,0.979451056926928,32,30
Acadian redfish,SS,1995,0.9991841169713066,66,30
Acadian redfish,SS,1996,1.004712622901046,78,30
Acadian redfish,SS,1997,0.9847990659655309,40,30
Acadian redfish,SS,1998,1.0010301670230755,41,30
Acadian redfish,SS,1999,1.0015249080548219,41,30
Acadian redfish,SS,2000,1.0377857410526803,50,30
Acadian redfish,SS,2001,0.9665293175814254,51,30
Acadian redfish,SS,2002,0.9773614143983979,37,30
Acadian redfish,SS,2003,0.9875227143257255,28,30
Acadian redfish,SS,2004,0.9863040049519143,78,30
Acadian redfish,SS,2005,0.95728532268959865,55,30
Acadian redfish,SS,2006,0.9786483594743589,61,30
Acadian redfish,SS,2007,0.9846863645730463,41,30
Acadian redfish,SS,2008,0.9916339686123369,39,30
Acadian redfish,SS,2009,0.9441673128346995,43,30
Acadian redfish,SS,2010,0.958237821920384,109,30
Acadian redfish,SS,2011,0.9575143694682113,132,30
Acadian redfish,SS,2012,0.9835345081079984,111,30
Acadian redfish,SS,2013,0.9480425985033233,146,30
Acadian redfish,SS,2014,1.0061665698619369,66,30
Acadian redfish,SS,2015,0.9875128194385682,59,30
Acadian redfish,SS,2016,0.9880497686552656,75,30
Acadian redfish,SS,2017,0.9556106689653808,81,30
Acadian redfish,SS,2018,0.9778811114996275,39,30
Acadian redfish,SS,2019,0.9679361442315009,41,30
Acadian redfish,SS,2021,0.9692678226970753,66,30
Acadian redfish,SS,2022,0.9907367087633477,61,30
American plaice,GB,1992,0.9949530313670599,32,31
American plaice,GB,1993,1.014268966685803,35,31
American plaice,GB,1994,1.0573979885980027,35,31
American plaice,GB,1995,1.0624430680204466,30,31
American plaice,GB,1996,1.0422957073694277,61,31
American plaice,GB,1997,0.9998180141333604,67,31
American plaice,GB,1998,1.0228304147577412,23,31
American plaice,GB,1999,1.0203730362081396,51,31
American plaice,GB,2000,1.0360498138921554,58,31
American plaice,GB,2001,1.0087505757788018,42,31
American plaice,GB,2002,0.9567652748177197,59,31
American plaice,GB,2003,0.9527108787016423,35,31
American plaice,GB,2004,0.9348178218001433,57,31
American plaice,GB,2005,0.9803499910969803,28,31
American plaice,GB,2006,0.924871311264942,72,31
American plaice,GB,2007,0.9590178785525562,95,31
American plaice,GB,2008,0.9720691752466225,28,31
American plaice,GB,2009,0.961432175013344,128,31
American plaice,GB,2010,0.9568723856888262,125,31
American plaice,GB,2011,0.9587319228188089,87,31
American plaice,GB,2012,0.9622190016502764,72,31
American plaice,GB,2013,0.9780633534494781,42,31
American plaice,GB,2014,0.994688019564371,57,31
